formula,avg_Atomic_Radius,avg_Pauling_Electronegativity,avg_number_of_valence_electrons,avg_Cohesive_energy_ev_atom,avg_Bulk_modulus_RT_Gpa,avg_Elastic_modulus_RT_Gpa,avg_Shear_modulus_RT_Gpa,avg_Melting_point_(K),avg_rate_shear_mod_Mpa_perK,avg_Solid_Solubility_atpct,avg_lattice_constant_A,avg_BEC_percm3,avg_Av.Valence_bond_strength_ev,avg_EngelZ_e/a,range_Atomic_Radius,range_Pauling_Electronegativity,range_number_of_valence_electrons,range_Cohesive_energy_ev_atom,range_Bulk_modulus_RT_Gpa,range_Elastic_modulus_RT_Gpa,range_Shear_modulus_RT_Gpa,range_Melting_point_(K),range_rate_shear_mod_Mpa_perK,range_Solid_Solubility_atpct,range_lattice_constant_A,range_BEC_percm3,range_Av.Valence_bond_strength_ev,range_EngelZ_e/a,var_Atomic_Radius,var_Pauling_Electronegativity,var_number_of_valence_electrons,var_Cohesive_energy_ev_atom,var_Bulk_modulus_RT_Gpa,var_Elastic_modulus_RT_Gpa,var_Shear_modulus_RT_Gpa,var_Melting_point_(K),var_rate_shear_mod_Mpa_perK,var_Solid_Solubility_atpct,var_lattice_constant_A,var_BEC_percm3,var_Av.Valence_bond_strength_ev,var_EngelZ_e/a,Temp,hardness,concat_text
Al0.25 Co1 Fe1 Ni1,1.496923076923077,1.853076923076923,8.538461538461538,4.294615384615385,168.92307692307693,196.15384615384616,73.6923076923077,1703.3038461538463,-22.582446403076926,7.476923076923077,3.0500000000000003,4.970000000000001e-21,2.1570769230769233,5.707692307692308,0.3800000000000001,0.2999999999999998,7.0,1.0500000000000003,104.0,141.0,56.0,875.0000000000001,3.566097860000003,14.600000000000001,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.022718750000000013,0.013818749999999984,7.25,0.183425,1916.75,3519.25,507.6875,131361.68750000003,1.9864362264492519,34.9525,0.35106875,2.2498187500000002e-42,0.05552918750000002,1.7400000000000002,25.0,138.0,"
    Formula: Al0.25 Co1 Fe1 Ni1
    avg_Atomic_Radius: 1.496923076923077
    avg_Pauling_Electronegativity: 1.853076923076923
    avg_number_of_valence_electrons: 8.538461538461538
    avg_Cohesive_energy_ev_atom: 4.294615384615385
    avg_Bulk_modulus_RT_Gpa: 168.92307692307693
    avg_Elastic_modulus_RT_Gpa: 196.15384615384616
    avg_Melting_point_(K): 1703.3038461538463
    avg_lattice_constant_A: 3.0500000000000003
    avg_BEC_percm3: 4.970000000000001e-21
    avg_Av.Valence_bond_strength_ev: 2.1570769230769233
    avg_EngelZ_e/a: 5.707692307692308
    Temperature: 25.0
    "
Al0.5 Co1 Fe1 Ni1,1.4742857142857142,1.8357142857142854,8.142857142857142,4.23,162.28571428571428,187.14285714285714,70.28571428571428,1648.2928571428572,-22.381331445714284,8.342857142857143,3.121428571428571,4.744285714285714e-21,2.181142857142857,5.514285714285714,0.3800000000000001,0.2999999999999998,7.0,1.0500000000000003,104.0,141.0,56.0,875.0000000000001,3.566097860000003,14.600000000000001,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.022718750000000013,0.013818749999999984,7.25,0.183425,1916.75,3519.25,507.6875,131361.68750000003,1.9864362264492519,34.9525,0.35106875,2.2498187500000002e-42,0.05552918750000002,1.7400000000000002,25.0,212.0,"
    Formula: Al0.5 Co1 Fe1 Ni1
    avg_Atomic_Radius: 1.4742857142857142
    avg_Pauling_Electronegativity: 1.8357142857142854
    avg_number_of_valence_electrons: 8.142857142857142
    avg_Cohesive_energy_ev_atom: 4.23
    avg_Bulk_modulus_RT_Gpa: 162.28571428571428
    avg_Elastic_modulus_RT_Gpa: 187.14285714285714
    avg_Melting_point_(K): 1648.2928571428572
    avg_lattice_constant_A: 3.121428571428571
    avg_BEC_percm3: 4.744285714285714e-21
    avg_Av.Valence_bond_strength_ev: 2.181142857142857
    avg_EngelZ_e/a: 5.514285714285714
    Temperature: 25.0
    "
Al0.75 Co1 Fe1 Ni1,1.4546666666666666,1.8206666666666664,7.799999999999999,4.1739999999999995,156.53333333333333,179.33333333333334,67.33333333333333,1600.6166666666666,-22.207031815999997,9.093333333333334,3.1833333333333336,4.548666666666667e-21,2.202,5.346666666666668,0.3800000000000001,0.2999999999999998,7.0,1.0500000000000003,104.0,141.0,56.0,875.0000000000001,3.566097860000003,14.600000000000001,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.022718750000000013,0.013818749999999984,7.25,0.183425,1916.75,3519.25,507.6875,131361.68750000003,1.9864362264492519,34.9525,0.35106875,2.2498187500000002e-42,0.05552918750000002,1.7400000000000002,25.0,385.0,"
    Formula: Al0.75 Co1 Fe1 Ni1
    avg_Atomic_Radius: 1.4546666666666666
    avg_Pauling_Electronegativity: 1.8206666666666664
    avg_number_of_valence_electrons: 7.799999999999999
    avg_Cohesive_energy_ev_atom: 4.1739999999999995
    avg_Bulk_modulus_RT_Gpa: 156.53333333333333
    avg_Elastic_modulus_RT_Gpa: 179.33333333333334
    avg_Melting_point_(K): 1600.6166666666666
    avg_lattice_constant_A: 3.1833333333333336
    avg_BEC_percm3: 4.548666666666667e-21
    avg_Av.Valence_bond_strength_ev: 2.202
    avg_EngelZ_e/a: 5.346666666666668
    Temperature: 25.0
    "
Al1 Co1 Fe1 Ni1,1.4375,1.8075,7.5,4.125,151.5,172.5,64.75,1558.9,-22.054519639999995,9.75,3.2375,4.3775000000000006e-21,2.22025,5.2,0.3800000000000001,0.2999999999999998,7.0,1.0500000000000003,104.0,141.0,56.0,875.0000000000001,3.566097860000003,14.600000000000001,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.022718750000000013,0.013818749999999984,7.25,0.183425,1916.75,3519.25,507.6875,131361.68750000003,1.9864362264492519,34.9525,0.35106875,2.2498187500000002e-42,0.05552918750000002,1.7400000000000002,25.0,456.0,"
    Formula: Al1 Co1 Fe1 Ni1
    avg_Atomic_Radius: 1.4375
    avg_Pauling_Electronegativity: 1.8075
    avg_number_of_valence_electrons: 7.5
    avg_Cohesive_energy_ev_atom: 4.125
    avg_Bulk_modulus_RT_Gpa: 151.5
    avg_Elastic_modulus_RT_Gpa: 172.5
    avg_Melting_point_(K): 1558.9
    avg_lattice_constant_A: 3.2375
    avg_BEC_percm3: 4.3775000000000006e-21
    avg_Av.Valence_bond_strength_ev: 2.22025
    avg_EngelZ_e/a: 5.2
    Temperature: 25.0
    "
Co1 Fe1 Ni1,1.5233333333333332,1.873333333333333,9.0,4.369999999999999,176.66666666666666,206.66666666666666,77.66666666666666,1767.4833333333331,-22.817080519999998,6.466666666666667,2.966666666666667,5.2333333333333335e-21,2.129,5.933333333333333,0.07000000000000006,0.07999999999999985,2.0,0.16000000000000014,10.0,11.0,7.0,82.0,1.306978100000002,4.1,1.0100000000000002,5.799999999999998e-22,0.47299999999999986,1.0,0.0008222222222222236,0.0010888888888888843,0.6666666666666666,0.0044666666666666665,22.222222222222218,22.888888888888886,9.555555555555555,1120.888888888889,0.32258525244017033,3.4822222222222217,0.17468888888888898,6.995555555555548e-44,0.04073266666666667,0.16888888888888887,25.0,125.0,"
    Formula: Co1 Fe1 Ni1
    avg_Atomic_Radius: 1.5233333333333332
    avg_Pauling_Electronegativity: 1.873333333333333
    avg_number_of_valence_electrons: 9.0
    avg_Cohesive_energy_ev_atom: 4.369999999999999
    avg_Bulk_modulus_RT_Gpa: 176.66666666666666
    avg_Elastic_modulus_RT_Gpa: 206.66666666666666
    avg_Melting_point_(K): 1767.4833333333331
    avg_lattice_constant_A: 2.966666666666667
    avg_BEC_percm3: 5.2333333333333335e-21
    avg_Av.Valence_bond_strength_ev: 2.129
    avg_EngelZ_e/a: 5.933333333333333
    Temperature: 25.0
    "
Co1 Fe1 Ni1,1.5233333333333332,1.873333333333333,9.0,4.369999999999999,176.66666666666666,206.66666666666666,77.66666666666666,1767.4833333333331,-22.817080519999998,6.466666666666667,2.966666666666667,5.2333333333333335e-21,2.129,5.933333333333333,0.07000000000000006,0.07999999999999985,2.0,0.16000000000000014,10.0,11.0,7.0,82.0,1.306978100000002,4.1,1.0100000000000002,5.799999999999998e-22,0.47299999999999986,1.0,0.0008222222222222236,0.0010888888888888843,0.6666666666666666,0.0044666666666666665,22.222222222222218,22.888888888888886,9.555555555555555,1120.888888888889,0.32258525244017033,3.4822222222222217,0.17468888888888898,6.995555555555548e-44,0.04073266666666667,0.16888888888888887,25.0,125.0,"
    Formula: Co1 Fe1 Ni1
    avg_Atomic_Radius: 1.5233333333333332
    avg_Pauling_Electronegativity: 1.873333333333333
    avg_number_of_valence_electrons: 9.0
    avg_Cohesive_energy_ev_atom: 4.369999999999999
    avg_Bulk_modulus_RT_Gpa: 176.66666666666666
    avg_Elastic_modulus_RT_Gpa: 206.66666666666666
    avg_Melting_point_(K): 1767.4833333333331
    avg_lattice_constant_A: 2.966666666666667
    avg_BEC_percm3: 5.2333333333333335e-21
    avg_Av.Valence_bond_strength_ev: 2.129
    avg_EngelZ_e/a: 5.933333333333333
    Temperature: 25.0
    "
Co1 Fe1 Ni1 Si0.25,1.4915384615384617,1.8753846153846154,8.615384615384617,4.390000000000001,170.76923076923077,194.3846153846154,76.3076923076923,1760.996153846154,-22.515428172307693,6.2384615384615385,3.1561538461538463,4.984615384615385e-21,2.202538461538462,5.7846153846153845,0.44999999999999996,0.07999999999999985,6.0,0.34999999999999964,80.0,164.0,22.0,125.0,4.43733486,5.6,2.92,3.44e-21,1.234,2.4000000000000004,0.032649999999999985,0.0009499999999999961,5.1875,0.01602499999999998,1118.75,4797.1875,65.6875,2174.1875,3.1253157147187762,4.261875,1.2687687499999998,2.012675e-42,0.2019125,0.8275000000000001,25.0,149.0,"
    Formula: Co1 Fe1 Ni1 Si0.25
    avg_Atomic_Radius: 1.4915384615384617
    avg_Pauling_Electronegativity: 1.8753846153846154
    avg_number_of_valence_electrons: 8.615384615384617
    avg_Cohesive_energy_ev_atom: 4.390000000000001
    avg_Bulk_modulus_RT_Gpa: 170.76923076923077
    avg_Elastic_modulus_RT_Gpa: 194.3846153846154
    avg_Melting_point_(K): 1760.996153846154
    avg_lattice_constant_A: 3.1561538461538463
    avg_BEC_percm3: 4.984615384615385e-21
    avg_Av.Valence_bond_strength_ev: 2.202538461538462
    avg_EngelZ_e/a: 5.7846153846153845
    Temperature: 25.0
    "
Co1 Fe1 Ni1 Si0.5,1.4642857142857142,1.8771428571428568,8.285714285714285,4.407142857142857,165.7142857142857,183.85714285714286,75.14285714285714,1755.4357142857145,-22.256869017142858,6.042857142857143,3.3185714285714285,4.771428571428572e-21,2.2655714285714286,5.657142857142857,0.44999999999999996,0.07999999999999985,6.0,0.34999999999999964,80.0,164.0,22.0,125.0,4.43733486,5.6,2.92,3.44e-21,1.234,2.4000000000000004,0.032649999999999985,0.0009499999999999961,5.1875,0.01602499999999998,1118.75,4797.1875,65.6875,2174.1875,3.1253157147187762,4.261875,1.2687687499999998,2.012675e-42,0.2019125,0.8275000000000001,25.0,287.0,"
    Formula: Co1 Fe1 Ni1 Si0.5
    avg_Atomic_Radius: 1.4642857142857142
    avg_Pauling_Electronegativity: 1.8771428571428568
    avg_number_of_valence_electrons: 8.285714285714285
    avg_Cohesive_energy_ev_atom: 4.407142857142857
    avg_Bulk_modulus_RT_Gpa: 165.7142857142857
    avg_Elastic_modulus_RT_Gpa: 183.85714285714286
    avg_Melting_point_(K): 1755.4357142857145
    avg_lattice_constant_A: 3.3185714285714285
    avg_BEC_percm3: 4.771428571428572e-21
    avg_Av.Valence_bond_strength_ev: 2.2655714285714286
    avg_EngelZ_e/a: 5.657142857142857
    Temperature: 25.0
    "
Co1 Fe1 Ni1 Si0.75,1.4406666666666665,1.8786666666666667,7.999999999999999,4.422,161.33333333333334,174.73333333333335,74.13333333333333,1750.6166666666668,-22.032784416,5.873333333333333,3.4593333333333334,4.5866666666666666e-21,2.3202,5.546666666666667,0.44999999999999996,0.07999999999999985,6.0,0.34999999999999964,80.0,164.0,22.0,125.0,4.43733486,5.6,2.92,3.44e-21,1.234,2.4000000000000004,0.032649999999999985,0.0009499999999999961,5.1875,0.01602499999999998,1118.75,4797.1875,65.6875,2174.1875,3.1253157147187762,4.261875,1.2687687499999998,2.012675e-42,0.2019125,0.8275000000000001,25.0,570.0,"
    Formula: Co1 Fe1 Ni1 Si0.75
    avg_Atomic_Radius: 1.4406666666666665
    avg_Pauling_Electronegativity: 1.8786666666666667
    avg_number_of_valence_electrons: 7.999999999999999
    avg_Cohesive_energy_ev_atom: 4.422
    avg_Bulk_modulus_RT_Gpa: 161.33333333333334
    avg_Elastic_modulus_RT_Gpa: 174.73333333333335
    avg_Melting_point_(K): 1750.6166666666668
    avg_lattice_constant_A: 3.4593333333333334
    avg_BEC_percm3: 4.5866666666666666e-21
    avg_Av.Valence_bond_strength_ev: 2.3202
    avg_EngelZ_e/a: 5.546666666666667
    Temperature: 25.0
    "
Al0.25 Co1 Cr1 Fe1 Ni1,1.5352941176470587,1.8076470588235294,7.9411764705882355,4.248823529411765,166.8235294117647,215.64705882352942,83.41176470588235,1803.7382352941179,-23.391395256470588,11.599999999999998,3.01,4.986470588235295e-21,2.2034117647058826,5.776470588235294,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,110.0,"
    Formula: Al0.25 Co1 Cr1 Fe1 Ni1
    avg_Atomic_Radius: 1.5352941176470587
    avg_Pauling_Electronegativity: 1.8076470588235294
    avg_number_of_valence_electrons: 7.9411764705882355
    avg_Cohesive_energy_ev_atom: 4.248823529411765
    avg_Bulk_modulus_RT_Gpa: 166.8235294117647
    avg_Elastic_modulus_RT_Gpa: 215.64705882352942
    avg_Melting_point_(K): 1803.7382352941179
    avg_lattice_constant_A: 3.01
    avg_BEC_percm3: 4.986470588235295e-21
    avg_Av.Valence_bond_strength_ev: 2.2034117647058826
    avg_EngelZ_e/a: 5.776470588235294
    Temperature: 25.0
    "
